# Me and Mr. Robot: Tracking the Actor Behind the MAN1 Crypter,,
Url,Description,Date added
unlaccothe[.]ru/sliva/gate.php,Pony,7/12/16
thetedrenre[.]ru/sliva/gate.php,Pony,7/12/16
eextensions[.]co/m.exe,Pony,7/12/16
www.10203040[.]at/m.exe,Pony,7/12/16
www.eshtari[.]me/m.exe,Pony,7/12/16
dethetear[.]ru/gate.php,Pony,7/12/16
fortformares[.]ru/gate.php,Pony,7/12/16
tonslachesand[.]ru/gate.php,Pony,7/12/16
writeonlabels[.]biz/media/system/h1.exe,Pony,7/12/16
aultomax[.]com[.]au/h1.exe,Pony,7/12/16
sauvarinsglass[.]co[.]nz/h1.exe,Pony,7/12/16
dethetear[.]ru/sliva/gate.php,Pony,7/12/16
fortformares[.]ru/sliva/gate.php,Pony,7/12/16
tonslachesand[.]ru/sliva/gate.php,Pony,7/12/16
writeonlabels[.]biz/media/system/m.exe,Pony,7/12/16
aultomax[.]com[.]au/m.exe,Pony,7/12/16
sauvarinsglass[.]co[.]nz/m.exe,Pony,7/12/16
hagurowrob[.]ru/gate.php,Pony,7/12/16
betrewhattit[.]ru/gate.php,Pony,7/12/16
botepetan[.]ru/gate.php,Pony,7/12/16
www.raveshia[.]com/wp-content/plugins/cached_data/print.exe,Pony,7/12/16
elfielatorestaurante[.]com/wp-content/plugins/cached_data/print.exe,Pony,7/12/16
spiceone-food[.]com/wp-content/plugins/feedweb_data/print.exe,Pony,7/12/16
rewthenperhed[.]ru/gate.php,Pony,7/12/16
littmahedtbo[.]ru/gate.php,Pony,7/12/16
hedtheresran[.]ru/gate.php,Pony,7/12/16
guedesrusso[.]com/system/logs/print.exe,Pony,7/12/16
noshykart[.]com/system/logs/print.exe,Pony,7/12/16
php9[.]650mb[.]com/wp-content/plugins/cached_data/print.exe,Pony,7/12/16
buthimetrab[.]com/zapoy/gate.php,Pony,7/12/16
ughtotdinghar[.]ru/zapoy/gate.php,Pony,7/12/16
gebiketo[.]ru/zapoy/gate.php,Pony,7/12/16
retoftontto[.]com/zapoy/gate.php,Pony,7/12/16
hididnjustha[.]ru/zapoy/gate.php,Pony,7/12/16
hinjuskinuse[.]ru/zapoy/gate.php,Pony,7/12/16
buloftoty[.]com/zapoy/gate.php,Pony,7/12/16
soonbito[.]ru/zapoy/gate.php,Pony,7/12/16
letatandone[.]ru/zapoy/gate.php,Pony,7/12/16
wasscaltontuld[.]com/zapoy/gate.php,Pony,7/12/16
hemorananing[.]ru/zapoy/gate.php,Pony,7/12/16
ontedrirop[.]ru/zapoy/gate.php,Pony,7/12/16
britecompanies[.]com/pm.dll,H1N1,7/12/16
britecompanies[.]com/inst1.exe,H1N1,7/12/16
